liutong_rate,liutong_value,name,price,global_pro,huanshou_rate,price_change
97.67%,"¥29,654,080","
Starta
                            ",￥5.7,"
<0.1%                                  ",0.03%,16.46%
95.83%,"¥30,224,221","
Breakout
                            ",￥1.62,"
<0.1%                                  ",0.29%,-9.24%
100%,"¥30,393,109","
BelaCoin
                            ",￥0.7518,"
<0.1%                                  ",1.07%,-15.66%
76.31%,"¥31,968,472","
ZrCoin (Pre-L...
                            ",￥8.4,"
<0.1%                                  ",1.09%,-5.87%
100%,"¥32,354,834","
Bitcloud
                            ",￥1.63,"
<0.1%                                  ",0.1%,26.29%
100%,"¥30,051,547","
Global Curren...
                            ",￥0.2892,"
<0.1%                                  ",8.85%,-21%
32.28%,"¥32,649,582","
Dotcoin
                            ",￥0.1136,"
<0.1%                                  ",0.64%,-4.48%
56.58%,"¥32,380,007","
GoldCoin
                            ",￥0.7921,"
<0.1%                                  ",0.51%,-11.83%
66.04%,"¥32,875,565","
Monkey Project
                            ",￥48.3,"
<0.1%                                  ",0.45%,-4.06%
100%,"¥33,285,923","
RussiaCoin
                            ",￥3.97,"
<0.1%                                  ",0.01%,-8.48%
19.8%,"¥33,346,191","
PutinCoin
                            ",￥0.0842,"
<0.1%                                  ",0.31%,0.57%
100%,"¥33,595,480","
VeriumReserve
                            ",￥21.97,"
<0.1%                                  ",0.49%,-9.06%
3.18%,"¥33,053,564","
Sumokoin
                            ",￥11.69,"
<0.1%                                  ",0.47%,-4.72%
88.24%,"¥33,736,725","
Blockpool
                            ",￥1.51,"
<0.1%                                  ",0.01%,5.91%
79.13%,"¥34,031,663","
GeoCoin
                            ",￥10.75,"
<0.1%                                  ",0.13%,-5.76%
100%,"¥34,705,587","
ExclusiveCoin
                            ",￥7.73,"
<0.1%                                  ",22%,-7.42%
100%,"¥35,060,248","
vTorrent
                            ",￥3.05,"
<0.1%                                  ",0.15%,-9.27%
90.21%,"¥35,757,623","
1337
                            ",￥0.001385,"
<0.1%                                  ",0.22%,-11.62%
31.37%,"¥35,656,746","
EuropeCoin
                            ",￥3.55,"
<0.1%                                  ",0.24%,-7.37%
17.13%,"¥35,793,192","
Bulwark
                            ",￥7.74,"
<0.1%                                  ",0.88%,-13.02%
16.16%,"¥36,219,518","
Hush
                            ",￥10.67,"
<0.1%                                  ",1.77%,3.22%
72.72%,"¥36,276,075","
Travelflex
                            ",￥0.479,"
<0.1%                                  ",0.14%,-12.63%
100%,"¥36,874,074","
Greencoin
                            ",￥0.009539,"
<0.1%                                  ",0.05%,-72.92%
10.63%,"¥36,177,908","
Bitcoin Plus
                            ",￥340,"
<0.1%                                  ",0.07%,-0.23%
100%,"¥36,985,410","
Karbo
                            ",￥6.87,"
<0.1%                                  ",0.42%,3.23%
100%,"¥36,915,557","
Pesetacoin
                            ",￥0.2774,"
<0.1%                                  ",0.35%,-2.29%
100%,"¥36,312,455","
Synergy
                            ",￥10.43,"
<0.1%                                  ",0.19%,-10.11%
100%,"¥38,784,731","
Breakout Stake
                            ",￥6.19,"
<0.1%                                  ",0.82%,-5.03%
24.27%,"¥36,960,116","
Denarius
                            ",￥15.23,"
<0.1%                                  ",0.29%,-9.67%
100%,"¥38,857,915","
HyperStake
                            ",￥0.0335,"
<0.1%                                  ",0.04%,-15.17%
90.17%,"¥38,940,013","
Oxycoin
                            ",￥0.4041,"
<0.1%                                  ",0.18%,-30.95%
98.34%,"¥39,276,351","
Memetic
                            ",￥1.8,"
<0.1%                                  ",6.66%,-2.64%
100%,"¥39,375,362","
GCoin
                            ",￥0.000261,"
<0.1%                                  ",0.1%,-24.45%
9.53%,"¥39,989,263","
Crave
                            ",￥1.56,"
<0.1%                                  ",0.14%,-14.65%
100%,"¥44,198,072","
DopeCoin
                            ",￥0.3783,"
<0.1%                                  ",0.39%,-11.68%
100%,"¥44,568,125","
Bitmark
                            ",￥5.31,"
<0.1%                                  ",0.16%,-8.46%
100%,"¥44,979,698","
HEAT
                            ",￥1.37,"
<0.1%                                  ",0.01%,-14.82%
100%,"¥45,449,861","
Sequence
                            ",￥0.9999,"
<0.1%                                  ",0.1%,-9.57%
100%,"¥46,571,681","
Pirl
                            ",￥3.92,"
<0.1%                                  ",0.35%,-4.76%
100%,"¥47,614,955","
Stealthcoin
                            ",￥1.68,"
<0.1%                                  ",0.05%,-8.89%
16.85%,"¥47,670,816","
KoreCoin
                            ",￥23.57,"
<0.1%                                  ",14.42%,-10.31%
100%,"¥48,229,307","
Vcash
                            ",￥3.13,"
<0.1%                                  ",0.6%,-12.08%
6.21%,"¥44,678,442","
BitcoinZ
                            ",￥0.0342,"
<0.1%                                  ",0.37%,-8.15%
17.08%,"¥52,271,337","
Linda
                            ",￥0.006119,"
<0.1%                                  ",0.95%,-7.62%
100%,"¥52,156,481","
Sphere
                            ",￥16.92,"
<0.1%                                  ",2.51%,-10.08%
99.45%,"¥52,701,487","
CHIPS
                            ",￥2.52,"
<0.1%                                  ",0.01%,-0.48%
96.26%,"¥53,000,274","
Polybius
                            ",￥13.87,"
<0.1%                                  ",0.23%,-21.78%
90.94%,"¥53,023,909","
Atmos
                            ",￥0.528,"
<0.1%                                  ",0.24%,1.77%
35.54%,"¥219,989,742","
BOTTOS
                            ",￥0.619,"
<0.1%                                  ",2.06%,-8.58%
100%,"¥237,965,584","
Aeon
                            ",￥15.27,"
<0.1%                                  ",0.24%,-6.51%
66.28%,"¥221,139,971","
Groestlcoin
                            ",￥3.18,"
<0.1%                                  ",0.89%,-6.87%
99.96%,"¥244,307,697","
Counterparty
                            ",￥93.35,"
<0.1%                                  ",0.28%,-11.2%
69.81%,"¥270,686,317","
HTMLCOIN
                            ",￥0.004127,"
<0.1%                                  ",0.19%,-11.99%
84.63%,"¥254,291,455","
Gulden
                            ",￥0.6461,"
<0.1%                                  ",0.33%,-13.58%
100%,"¥275,161,574","
Einsteinium
                            ",￥1.27,"
<0.1%                                  ",1.71%,-7.37%
66.15%,"¥239,488,094","
XtraBYtes
                            ",￥0.5569,"
<0.1%                                  ",0.23%,-15.91%
40.64%,"¥255,402,575","
AppCoins
                            ",￥2.55,"
<0.1%                                  ",3.5%,-11.72%
37.56%,"¥269,026,203","
Metaverse ETP
                            ",￥7.16,"
<0.1%                                  ",4.18%,-10.2%
99.98%,"¥286,171,915","
Viacoin
                            ",￥12.44,"
<0.1%                                  ",17.88%,-7.28%
100%,"¥281,889,194","
Rise
                            ",￥2.32,"
<0.1%                                  ",0%,-5.15%
46.6%,"¥288,782,822","
ATMchain
                            ",￥0.062,"
<0.1%                                  ",24.8%,-12.06%
57.82%,"¥310,930,409","
Feathercoin
                            ",￥1.6,"
<0.1%                                  ",1.72%,0.84%
99.46%,"¥299,369,282","
CloakCoin
                            ",￥58.67,"
<0.1%                                  ",1.75%,-8.8%
50%,"¥315,443,594","
IoT Chain
                            ",￥6.31,"
<0.1%                                  ",18.46%,-10.66%
17%,"¥328,692,545","
HPB
                            ",￥19.33,"
<0.1%                                  ",5.13%,-8.61%
50%,"¥314,623,120","
Ink
                            ",￥0.6292,"
<0.1%                                  ",42.2%,-11.48%
83.39%,"¥332,560,735","
Burst
                            ",￥0.1847,"
<0.1%                                  ",2.91%,-10.02%
100%,"¥339,769,099","
BitBay
                            ",￥0.3364,"
<0.1%                                  ",1.39%,-8.57%
30%,"¥343,846,995","
Ubique Chain of Things
                            ",￥1.09,"
<0.1%                                  ",10.16%,-8.62%
100%,"¥353,342,482","
BridgeCoin
                            ",￥13.09,"
<0.1%                                  ",0.17%,-18.63%
100%,"¥361,175,891","
Peercoin
                            ",￥14.65,"
<0.1%                                  ",0.51%,-5.34%
86.19%,"¥365,493,150","
Experience Points
                            ",￥0.00167,"
<0.1%                                  ",0.72%,-8.6%
55%,"¥373,948,936","
ChatCoin
                            ",￥0.6799,"
<0.1%                                  ",18.21%,-9%
4.62%,"¥375,722,369","
BitBean
                            ",￥0.1628,"
<0.1%                                  ",2.73%,-2.85%
67.58%,"¥376,576,160","
Asch
                            ",￥5.02,"
<0.1%                                  ",2.72%,2.34%
77.47%,"¥384,750,899","
ION
                            ",￥18.97,"
<0.1%                                  ",2.73%,-9.19%
29.59%,"¥416,508,335","
Achain
                            ",￥1.41,"
<0.1%                                  ",15.63%,-6.96%
49.44%,"¥487,663,488","
Pura
                            ",￥2.82,"
<0.1%                                  ",0.79%,-22.73%
100%,"¥500,871,776","
SaluS
                            ",￥496,"
<0.1%                                  ",8.96%,-8.86%
7.68%,"¥514,871,282","
Skycoin
                            ",￥67.05,"
<0.1%                                  ",0.84%,-9.31%
16.14%,"¥500,849,136","
ZenCash
                            ",￥148,"
<0.1%                                  ",1.63%,-9.42%
100%,"¥519,170,313","
Ubiq
                            ",￥13,"
<0.1%                                  ",0.84%,-11.31%
100%,"¥519,775,479","
NAV Coin
                            ",￥8.31,"
<0.1%                                  ",2.22%,-8.23%
18.21%,"¥639,941,805","
MinexCoin
                            ",￥185,"
<0.1%                                  ",0.28%,-11.4%
76.61%,"¥652,765,453","
GameCredits
                            ",￥10.14,"
<0.1%                                  ",1.05%,-10.89%
100%,"¥660,430,178","
BitcoinDark
                            ",￥512,"
<0.1%                                  ",0.01%,-5.76%
51.53%,"¥694,619,395","
Vertcoin
                            ",￥16.05,"
<0.1%                                  ",1.87%,-9.1%
50.06%,"¥749,102,640","
Blocknet
                            ",￥148,"
<0.1%                                  ",0.43%,-13.74%
53%,"¥522,767,132","
ArcBlock
                            ",￥5.3,"
<0.1%                                  ",52.7%,-7.1%
40%,"¥801,215,152","
Nuls
                            ",￥20.03,"
<0.1%                                  ",5.6%,-5.5%
57.37%,"¥821,867,178","
Bitcore
                            ",￥68.22,"
<0.1%                                  ",1.25%,-4.7%
94.49%,"¥919,565,687","
Neblio
                            ",￥71.32,"
<0.1%                                  ",1.74%,-8.22%
51%,"¥840,822,705","
TenX
                            ",￥8.03,"
<0.1%                                  ",3.94%,-14.74%
49.11%,"¥950,205,920","
Bancor
                            ",￥24.37,"
<0.1%                                  ",0.81%,-6.23%
100%,"¥921,564,400","
Nexus
                            ",￥16.43,"
<0.1%                                  ",2.71%,-6.38%
100%,"¥984,352,901","
Emercoin
                            ",￥23.74,"
<0.1%                                  ",0.77%,10%
99.9%,"¥968,215,337","
Nxt
                            ",￥0.9692,"
<0.1%                                  ",1.78%,-7.08%
60%,"¥1,076,785,575","
GXShares
                            ",￥17.95,"
<0.1%                                  ",2.89%,-6.08%
46.45%,"¥1,059,835,075","
SALT
                            ",￥19.01,"
<0.1%                                  ",2.37%,-10.78%
20%,"¥1,101,940,212","
ZCoin
                            ",￥257,"
<0.1%                                  ",0.94%,-6.33%
100%,"¥1,100,842,337","
ReddCoin
                            ",￥0.0383,"
<0.1%                                  ",2.29%,-8.17%
100%,"¥1,115,606,995","
Particl
                            ",￥125,"
<0.1%                                  ",0.59%,-10.57%
100%,"¥1,509,158,031","
MonaCoin
                            ",￥26.03,"
<0.1%                                  ",0.72%,-5.35%
28.57%,"¥1,310,620,254","
UnitedBitcoin
                            ",￥218,"
<0.1%                                  ",1.69%,2.97%
64.52%,"¥1,211,890,479","
Byteball
                            ","￥1,878","
<0.1%                                  ",1.02%,3.42%
47.41%,"¥1,512,034,827","
DigiByte
                            ",￥0.1519,"
<0.1%                                  ",0.9%,-9.96%
94.44%,"¥1,537,277,452","
PIVX
                            ",￥27.58,"
<0.1%                                  ",0.59%,-8.49%
50.25%,"¥1,665,210,516","
Hshare
                            ",￥39.45,"
<0.1%                                  ",20.1%,-6.63%
59.85%,"¥1,625,234,729","
SysCoin
                            ",￥3.06,"
<0.1%                                  ",1.03%,-9.31%
21.5%,"¥1,728,254,805","
Cryptonex
                            ",￥38.27,"
<0.1%                                  ",0.06%,-8.2%
31.45%,"¥1,932,883,866","
Zilliqa
                            ",￥0.2926,"
<0.1%                                  ",9.59%,7.62%
76.4%,"¥1,965,221,447","
Ark
                            ",￥19.43,"
<0.1%                                  ",0.39%,-7.42%
30.43%,"¥1,963,995,478","
Electroneum
                            ",￥0.3074,"
<0.1%                                  ",0.23%,-7.84%
32.91%,"¥2,624,572,971","
Decred
                            ",￥380,"
0.1%                                   ",0.3%,-5.1%
99.95%,"¥2,172,952,104","
Komodo
                            ",￥20.9,"
<0.1%                                  ",0.44%,-5.98%
85.14%,"¥2,633,470,434","
Aeternity
                            ",￥11.3,"
0.1%                                   ",4.53%,-6.1%
100%,"¥2,677,513,991","
Siacoin
                            ",￥0.0811,"
0.1%                                   ",1.36%,-7.92%
72.5%,"¥2,733,890,393","
BitShares
                            ",￥1.05,"
0.1%                                   ",3.4%,-5.12%
100%,"¥43,553,608","
Zeitcoin
                            ",￥0.001178,"
<0.1%                                  ",0.12%,-30.46%
100%,"¥2,875,493,434","
Dogecoin
                            ",￥0.0253,"
0.1%                                   ",3.02%,-7.31%
60%,"¥3,013,939,207","
HT
                            ",￥10.05,"
0.1%                                   ",10.2%,-5.84%
100%,"¥491,046,771","
DigitalNote
                            ",￥0.0712,"
<0.1%                                  ",4.25%,-8.91%
29.03%,"¥286,885,733","
LBRY Credits
                            ",￥1.87,"
<0.1%                                  ",1.94%,-12.84%
100%,"¥3,298,659,099","
Stratis
                            ",￥33.4,"
0.1%                                   ",1.22%,-10.19%
87.38%,"¥3,377,387,825","
Verge
                            ",￥0.2335,"
0.1%                                   ",2.26%,-9.53%
60.09%,"¥48,009,022","
BioCoin
                            ",￥0.0779,"
<0.1%                                  ",0.03%,-2.4%
100%,"¥3,456,852,033","
Waves
                            ",￥34.57,"
0.2%                                   ",3.87%,-9.53%
24.9%,"¥4,280,875,114","
Walton
                            ",￥172,"
0.2%                                   ",1.44%,-0.36%
100%,"¥8,072,123,909","
NANO
                            ",￥60.58,"
0.3%                                   ",5.72%,-0.1%
99.62%,"¥3,693,255,372","
Bytecoin
                            ",￥0.0201,"
0.2%                                   ",0.53%,-6.76%
100%,"¥6,328,690,130","
Zcash
                            ","￥1,832","
0.3%                                   ",5.21%,-9.16%
73.62%,"¥8,632,917,519","
Qtum
                            ",￥117,"
0.4%                                   ",9.76%,-7.65%
93.7%,"¥3,758,878,357","
Steem
                            ",￥14.89,"
0.2%                                   ",0.5%,-11.13%
80.95%,"¥10,311,013,254","
Bitcoin Gold
                            ",￥607,"
0.4%                                   ",1.26%,-3.84%
100%,"¥1,414,884,162","
Factom
                            ",￥162,"
<0.1%                                  ",2.48%,-3.76%
100%,"¥19,666,359,322","
NEM
                            ",￥2.19,"
0.9%                                   ",0.89%,-2.23%
100%,"¥13,048,703,910","
Ethereum Classic
                            ",￥130,"
0.6%                                   ",13.36%,-9.76%
42.01%,"¥24,255,562,118","
Dash
                            ","￥3,055","
1.1%                                   ",2.36%,-8.61%
86.36%,"¥9,179,083,613","
Lisk
                            ",￥89.38,"
0.4%                                   ",1.33%,-9.63%
57.62%,"¥33,951,963,579","
Cardano
                            ",￥1.31,"
1.5%                                   ",2.36%,-6.67%
100%,"¥23,294,041,866","
IOTA
                            ",￥8.38,"
1%                                   ",0.8%,-8.97%
100%,"¥26,093,935,714","
Monero
                            ","￥1,650","
1.1%                                   ",1.96%,-11.98%
17.83%,"¥34,207,023,338","
Stellar
                            ",￥1.85,"
1.5%                                   ",0.58%,-7.89%
65%,"¥35,289,808,716","
NEO
                            ",￥543,"
1.5%                                   ",2.15%,-7.95%
66.16%,"¥63,692,948,159","
Litecoin
                            ","￥1,146","
2.8%                                   ",6.51%,-5.3%
80.53%,"¥947,963,715,185","
Bitcoin
                            ","￥56,052","
41.1%                                   ",3.92%,-6.87%
39.09%,"¥199,629,688,921","
Ripple
                            ",￥5.11,"
8.7%                                   ",1.27%,-5.71%
100%,"¥5,418,780","
BitBar
                            ",￥148,"
<0.1%                                  ",0.18%,7.02%
81.01%,"¥109,136,045,973","
Bitcoin Cash(BCC)
                            ","￥6,416","
4.7%                                   ",2.45%,-5.07%
100%,"¥433,709,528,271","
Ethereum
                            ","￥4,420","
18.8%                                   ",2.67%,-5.89%
89.21%,"¥5,464,714","
Abjcoin
                            ",￥0.6612,"
<0.1%                                  ",0.04%,38.56%
5.09%,"¥5,425,966","
CryptoCarbon
                            ",￥1.52,"
<0.1%                                  ",0.1%,-16.65%
53.54%,"¥5,611,385","
Elcoin
                            ",￥0.5006,"
<0.1%                                  ",0.33%,-3.62%
100%,"¥5,696,142","
Trollcoin
                            ",￥0.009984,"
<0.1%                                  ",0.01%,-8.48%
83.61%,"¥5,652,108","
Deutsche eMark
                            ",￥0.1587,"
<0.1%                                  ",0.16%,-2.8%
100%,"¥5,457,245","
Mediterraneancoin
                            ",￥0.1073,"
<0.1%                                  ",1.54%,37.5%
68.51%,"¥5,740,949","
PopularCoin
                            ",￥0.001676,"
<0.1%                                  ",0.12%,-13.98%
100%,"¥5,791,606","
Kobocoin
                            ",￥0.2345,"
<0.1%                                  ",0.06%,-19.99%
100%,"¥5,855,454","
NCShares
                            ",￥0.0366,"
<0.1%                                  ",0.92%,-10.26%
100%,"¥5,738,878","
Bitcoin Scrypt
                            ",￥0.3411,"
<0.1%                                  ",0.06%,-8.89%
100%,"¥6,094,236","
MaxCoin
                            ",￥0.0992,"
<0.1%                                  ",0.02%,-23.28%
52.37%,"¥6,098,440","
HitCoin
                            ",￥0.000555,"
<0.1%                                  ",0%,-6.62%
100%,"¥6,243,389","
Piggycoin
                            ",￥0.0128,"
<0.1%                                  ",0.66%,-10.51%
40.9%,"¥6,237,533","
Guncoin
                            ",￥0.0305,"
<0.1%                                  ",0.07%,-5.57%
5.17%,"¥6,309,798","
Ultimate Secure Cash
                            ",￥0.61,"
<0.1%                                  ",0.01%,-6.62%
100%,"¥6,399,310","
MetalCoin
                            ",￥0.0832,"
<0.1%                                  ",0%,-21.75%
9.08%,"¥6,445,529","
DeusCoin
                            ",￥0.7099,"
<0.1%                                  ",0.04%,-12.13%
100%,"¥6,538,219","
Machinecoin
                            ",￥0.3161,"
<0.1%                                  ",0.5%,-16.99%
100%,"¥6,547,982","
NetCoin
                            ",￥0.008319,"
<0.1%                                  ",0.17%,7.75%
100%,"¥6,619,216","
Fantomcoin
                            ",￥0.9428,"
<0.1%                                  ",0%,-14.23%
100%,"¥6,669,062","
Zennies
                            ",￥0.006664,"
<0.1%                                  ",0.42%,-20.82%
100%,"¥6,753,775","
Zetacoin
                            ",￥0.0403,"
<0.1%                                  ",0.49%,-15.76%
20.33%,"¥6,765,342","
LeviarCoin (P...
                            ",￥0.6161,"
<0.1%                                  ",0.12%,-6.19%
72.53%,"¥6,821,913","
FuckToken
                            ",￥0.1327,"
<0.1%                                  ",0.04%,-22.16%
100%,"¥7,015,000","
UCX
                            ",￥0.1403,"
<0.1%                                  ",5.78%,-3.07%
13.11%,"¥7,456,329","
FujiCoin
                            ",￥0.005688,"
<0.1%                                  ",0.21%,-11.64%
55.27%,"¥7,584,412","
Bitradio
                            ",￥1.23,"
<0.1%                                  ",0.06%,-7.21%
61.35%,"¥7,738,953","
InsaneCoin
                            ",￥0.4205,"
<0.1%                                  ",0.03%,-9.36%
100%,"¥7,718,078","
PetroDollar
                            ",￥0.1206,"
<0.1%                                  ",1.85%,4.25%
100%,"¥7,720,509","
Dinastycoin
                            ",￥0.005101,"
<0.1%                                  ",0.65%,-2.1%
45.06%,"¥7,948,500","
Cream
                            ",￥0.1764,"
<0.1%                                  ",2.89%,-25.24%
100%,"¥8,239,272","
ShadowCash
                            ",￥1.23,"
<0.1%                                  ",7.44%,0%
100%,"¥8,330,823","
BiblePay
                            ",￥0.0183,"
<0.1%                                  ",0.02%,-17.97%
60.73%,"¥8,270,802","
Universe
                            ",￥0.4775,"
<0.1%                                  ",0.02%,-14.49%
100%,"¥8,333,216","
Canada eCoin
                            ",￥0.0855,"
<0.1%                                  ",0.22%,-15.74%
66.13%,"¥8,562,510","
MagicCoin
                            ",￥1.17,"
<0.1%                                  ",0.03%,-11.39%
100%,"¥8,955,464","
Moin
                            ",￥1.2,"
<0.1%                                  ",0.28%,-7.45%
100%,"¥7,098,730","
Shorty
                            ",￥0.071,"
<0.1%                                  ",0.02%,-16.99%
54.17%,"¥7,215,218","
BiYuanCoin
                            ",￥0.0111,"
<0.1%                                  ",62.97%,4%
100%,"¥9,249,471","
Renos
                            ",￥0.2773,"
<0.1%                                  ",0.02%,-17.01%
100%,"¥8,498,033","
Woodcoin
                            ",￥1.06,"
<0.1%                                  ",1.88%,-3.17%
50.05%,"¥7,885,757","
Bata
                            ",￥1.58,"
<0.1%                                  ",0.31%,-7.24%
100%,"¥8,567,411","
I0Coin
                            ",￥0.4082,"
<0.1%                                  ",0.39%,-2.59%
100%,"¥9,197,940","
FlutterCoin
                            ",￥0.0211,"
<0.1%                                  ",0.03%,-1.43%
100%,"¥7,806,723","
PlatinumBAR
                            ",￥12.17,"
<0.1%                                  ",0.35%,13.16%
100%,"¥9,016,333","
NobleCoin
                            ",￥0.003882,"
<0.1%                                  ",0.06%,-7.33%
100%,"¥9,333,582","
WorldCoin
                            ",￥0.0789,"
<0.1%                                  ",1.94%,-6.35%
58.33%,"¥9,022,900","
Coffee gold chain
                            ",￥0.2578,"
<0.1%                                  ",95.22%,-13.48%
100%,"¥9,371,260","
QubitCoin
                            ",￥0.0377,"
<0.1%                                  ",0.03%,4.1%
99.26%,"¥9,447,951","
AurumCoin
                            ",￥31.73,"
<0.1%                                  ",0.01%,-13.97%
100%,"¥9,546,232","
Orbitcoin
                            ",￥3.02,"
<0.1%                                  ",0.02%,-8.01%
79.88%,"¥9,531,442","
CrowdCoin
                            ",￥6.86,"
<0.1%                                  ",1.41%,13.5%
100%,"¥9,904,394","
ArcticCoin
                            ",￥0.4017,"
<0.1%                                  ",0.77%,2.53%
94.59%,"¥9,572,482","
Fastcoin
                            ",￥0.061,"
<0.1%                                  ",0.15%,-17.16%
100%,"¥9,569,265","
SmileyCoin
                            ",￥0.000369,"
<0.1%                                  ",0.04%,-20.99%
63.72%,"¥10,500,006","
VIVO
                            ",￥7.29,"
<0.1%                                  ",1.01%,-13%
92.65%,"¥9,737,545","
Unify
                            ",￥0.5452,"
<0.1%                                  ",0.48%,-11.87%
100%,"¥10,606,502","
42-coin
                            ","￥252,536","
<0.1%                                  ",0.04%,6.33%
100%,"¥9,807,943","
Unitus
                            ",￥0.2096,"
<0.1%                                  ",0.25%,-19.65%
7.14%,"¥10,146,124","
OP Coin
                            ",￥0.0711,"
<0.1%                                  ",3.12%,-15.1%
50.33%,"¥10,837,896","
KekCoin
                            ",￥1.03,"
<0.1%                                  ",0%,-1.95%
100%,"¥10,014,078","
Bytecent
                            ",￥4.93,"
<0.1%                                  ",0.64%,-6.61%
100%,"¥11,584,338","
Photon
                            ",￥0.00053,"
<0.1%                                  ",0.04%,0.18%
100%,"¥11,690,907","
LEAF
                            ",￥0.000555,"
<0.1%                                  ",0.03%,-6.62%
100%,"¥11,712,959","
Anoncoin
                            ",￥5.55,"
<0.1%                                  ",0.04%,-6.62%
35.7%,"¥11,817,983","
CampusCoin
                            ",￥0.0328,"
<0.1%                                  ",0.61%,-15.17%
51.74%,"¥11,889,292","
Adzcoin
                            ",￥0.2736,"
<0.1%                                  ",0.08%,-5.89%
65.1%,"¥12,103,588","
FIMKrypto
                            ",￥0.021,"
<0.1%                                  ",?%,0%
100%,"¥11,452,691","
Version
                            ",￥0.0236,"
<0.1%                                  ",0%,-2.82%
100%,"¥11,548,205","
Growers Inter...
                            ",￥9.81,"
<0.1%                                  ",0.26%,-4.5%
64.48%,"¥10,746,946","
Black Hole Coin
                            ",￥0.7295,"
<0.1%                                  ",0.67%,-11.9%
17.36%,"¥11,750,200","
PURE
                            ",￥3.38,"
<0.1%                                  ",0.41%,-16.85%
29.52%,"¥12,138,987","
Condensate
                            ",￥0.0823,"
<0.1%                                  ",0.15%,-9.11%
58.53%,"¥12,669,323","
Bitdeal
                            ",￥0.0722,"
<0.1%                                  ",0.27%,-9.75%
90.34%,"¥12,637,172","
EquiTrader
                            ",￥1.23,"
<0.1%                                  ",0.38%,11.78%
100%,"¥14,186,694","
CorgiCoin
                            ",￥0.0113,"
<0.1%                                  ",0%,0%
12%,"¥12,711,198","
eBoost
                            ",￥1.06,"
<0.1%                                  ",6.97%,-3.89%
7.41%,"¥13,516,009","
Ignition
                            ",￥36.46,"
<0.1%                                  ",0.91%,-12.09%
100%,"¥14,437,234","
UnbreakableCoin
                            ",￥6.34,"
<0.1%                                  ",150.35%,-7.37%
100%,"¥14,497,394","
Crypto Bullion
                            ",￥14.35,"
<0.1%                                  ",0.02%,-7.64%
99.99%,"¥14,608,540","
IncaKoin
                            ",￥0.001071,"
<0.1%                                  ",0.03%,-9.82%
8.67%,"¥14,612,503","
Interstellar Holdings
                            ",￥0.0843,"
<0.1%                                  ",0.26%,-12.66%
76.93%,"¥14,632,099","
MazaCoin
                            ",￥0.0139,"
<0.1%                                  ",6.43%,-1.62%
100%,"¥14,893,558","
VPNCoin
                            ",￥0.0238,"
<0.1%                                  ",0.22%,-24.42%
38.83%,"¥14,638,569","
IntenseCoin
                            ",￥0.0377,"
<0.1%                                  ",0.12%,-5.68%
71.52%,"¥11,787,637","
DigitalPrice
                            ",￥0.6258,"
<0.1%                                  ",0.36%,-4.4%
47.4%,"¥15,075,664","
Regalcoin
                            ",￥1.18,"
<0.1%                                  ",0.06%,-8.71%
0.65%,"¥14,675,367","
ProCurrency
                            ",￥0.1508,"
<0.1%                                  ",0.69%,-4.59%
100%,"¥15,490,220","
InflationCoin
                            ",￥0.000383,"
<0.1%                                  ",0.06%,21.87%
21%,"¥15,152,974","
Swisscoin
                            ",￥0.007216,"
<0.1%                                  ",1.41%,-18.56%
19.11%,"¥15,300,293","
Linx
                            ",￥0.8006,"
<0.1%                                  ",0.79%,-6.18%
5.21%,"¥15,593,768","
Innova
                            ",￥7.13,"
<0.1%                                  ",0.91%,-1.71%
1.56%,"¥16,116,437","
STRAKS
                            ",￥6.88,"
<0.1%                                  ",0.29%,-12.57%
100%,"¥16,449,996","
LiteDoge
                            ",￥0.0011,"
<0.1%                                  ",0.09%,-6.93%
4.53%,"¥16,566,239","
SagaCoin
                            ",￥8.7,"
<0.1%                                  ",1.55%,0.09%
100%,"¥17,129,080","
Carboncoin
                            ",￥0.001113,"
<0.1%                                  ",0.03%,-10.29%
100%,"¥16,914,277","
ParkByte
                            ",￥3.55,"
<0.1%                                  ",0.78%,-5.51%
27.28%,"¥17,032,546","
Rupee
                            ",￥0.7432,"
<0.1%                                  ",0.17%,-7.53%
100%,"¥928,107","
Chronos
                            ",￥0.0126,"
<0.1%                                  ",0.02%,-68.26%
100%,"¥973,224","
BERNcash
                            ",￥0.0137,"
<0.1%                                  ",0.55%,-53.58%
0.71%,"¥973,661","
FinCoin
                            ",￥0.0756,"
<0.1%                                  ",0.33%,-21.98%
100%,"¥1,009,553","
PayCon
                            ",￥0.0438,"
<0.1%                                  ",0%,-17.09%
21.01%,"¥1,026,059","
MustangCoin
                            ",￥1.63,"
<0.1%                                  ",0.05%,-0.46%
2.89%,"¥1,040,671","
LiteBitcoin
                            ",￥0.036,"
<0.1%                                  ",0.72%,-4.76%
100%,"¥1,043,375","
Yacoin
                            ",￥0.00861,"
<0.1%                                  ",?%,-3.35%
100%,"¥1,048,820","
Zurcoin
                            ",￥0.012,"
<0.1%                                  ",?%,-8.42%
82.56%,"¥1,044,521","
Speedcash
                            ",￥2.65,"
<0.1%                                  ",0.28%,-6.87%
100%,"¥1,052,834","
Jin Coin
                            ",￥0.1057,"
<0.1%                                  ",?%,-7.73%
100%,"¥1,053,461","
Acoin
                            ",￥0.8634,"
<0.1%                                  ",0.26%,-8.75%
100%,"¥1,057,627","
RonPaulCoin
                            ",￥1.16,"
<0.1%                                  ",0.16%,-11%
